id,original_txt,wrong_ids,correct_txt
20,,,"1. 2009至2013年，西安体院将国家体育总局、省体育总局和武管中心等部门拨入资金、武保处收取的停车费等合计2,792,877.4元列入往来款项，未记入当年收入。"
21,,,（3）彬县财政未及时拨付中省专项资金4614.33万元并形成虚列支出。
22,,,5. 个别项目未及时进行竣工财务决算。
23,,,"（2）陕建六公司资金中心库存现余以白条抵库涉及资金133,800元；陕建十一公司外购黄土、石料等材料126,000元，白条入账。"
24,,,（3）陕建六公司原始凭证不合规列支。
25,,,"（5）多支付44个标段合同约定的奖励基金3,366,991.41元。"
26,,,"（6）核减路基及路面单位共计34个标段监理用房细目3,563,273.50元。"
27,,,"（7）2010年	青兰管理处以批复文件形式，对试验段1至4标段、路基第5至第6标段进行赶工补偿，共计补偿2770万元，本次审计按照招投标文件及施工合同约定，对赶工费用申报资料中的人员、材料、施工机械等进行审核，对不应属于赶工措施的补偿费用进行了核减，共计核减工程造价2,765,380.10元。"
28,,,（8）青兰管理处计量并支付了应由路面1至路面5标段施工单位承担的沥青混合料生产动态质量监控设备款（黑匣子），核减工程造价144万元。
29,,,（2）飞行区排水工程招标由西部机场集团委托陕西西北民航招标有限公司实施。
30,,,（1）南飞行区站坪工程招标由西部机场集团委托陕西西北民航招标有限公司实施。
31,,,"2018年末，学院三年以上其他应付款415,513.15元长期挂账。"
32,,,"2018年末，学院三年以上其他应付款415,513.15元长期挂账。"
33,,,1. 信托信用风险资产信息披露不真实，未按原值反映不良信用风险资产4.83亿元。
34,,,1. 财政性存款未据实填列。
35,,,"2. 债转股形成浮亏1,091.11万元。"
36,,,3. 无依据列支费用52.6万元。
37,,,4. 无发票列支购楼款604.32万元。
38,,,（1）少代扣代缴个人所得税27.34万元。
39,,,（1）2012年，市财政未将水库移民后期扶持资金专户产生利息收入8万元上缴国库，直接从专户下达拨付咸阳市移民办专项工作经费。
40,,,（2）2011年，市财政未将基础教育专户产生利息收入36.19万元上缴国库，直接从专户下达拨付市人民政府驻北京联络处等预算单位。
41,,,3.少缴国有资本收益1.14亿元。
42,,,（2） “乱采乱挖”问题未整治到位或未整治。
43,,,"7. 部分学费和住宿费10,187,915.80元，未及时上缴财政专户。"
44,,,8. 华清学院未按照规定编制学院年度预算。
45,,,"1. 学生欠缴学费和住宿费11,296,730.1元。"
46,,,2. 违规在代管经费列收列支教学、课时费用。
47,,,3. 违规使用票据。
48,,,"4. 个人借款985,359元长期挂账。"
49,,,4.未建立内部审计向董事会负责的工作机制。
50,,,"3．参会、参培单位承担省住建厅会议、培训住宿费519,120元。"
51,,,4. 部分会议参会人数、费用等超过规定。
52,,,"（1）部分会议费报销凭证存在会议起止时间不明确、无参会人员签到表、无会议服务单位原始费用单据等问题，涉及金额318,703元。"
53,,,"（2）部分培训费报销凭证附件不全，存在无培训通知、无参训人员签到表、无酒店结算明细、无讲课费领签表等问题，涉及金额182,995元。"
54,,,（1）县城市环境卫生管理中心2017年、2018年未对城区垃圾填埋场进行水质、废气、土壤监测，2019年监测次数不达标。
55,,,（2）2017至2019年，渭南市生态环境局大荔分局未对县垃圾填埋场进行地下水水质、气体排放监督监测。
56,,,2. 垃圾填埋场未安装自动在线监控装置。
57,,,70户养殖场未进行环境影响登记。
58,,,70户养殖场未进行环境影响登记。
59,,,3．对民营公司违法建设预售商品住宅监管不到位，存在引发社会不稳定隐患。
60,,,略阳县财政局委托陕西建华工程咨询有限公司及陕西省工程监理公司对略阳县人民法院审判法庭综合办公楼工程量清单及最高限价进行了财政评审，经抽查复核陕西建华工程咨询有限公司代表略阳县财政局出具的最高限价审核报告，存在外墙乳胶漆工程量与外墙抹灰工程量计算错误、措施项目清单中少计高层施工降效费等问题。
61,,,略阳县人民法院用现金支付设计、图纸审查等费用4.65万元，其中设计费3万元、图纸审查费1万元、交易服务费0.65万元。
62,,,略阳县人民法院用现金支付设计、图纸审查等费用4.65万元，其中设计费3万元、图纸审查费1万元、交易服务费0.65万元。
63,,,陕西恒瑞建设工程监理有限公司（2012年8月名称变更为陕西恒瑞项目管理公司）受勉县环保局委托对勉县环境监测执法业务用房招标工作进行了代理，招标工作结束后陕西恒瑞项目管理有限公司未按规定向勉县环保局移交参与评标的陕西建工集团第十建筑工程公司、汉中市建筑工程总公司等6家未中标企业的投标资料，并销毁；勉县环境保护局也未向陕西恒瑞项目管理有限公司索要招标时的相关资料。
64,,,项目审批概算2598万元，实际完成投资3127万元。
65,,,"1. 门诊综合楼工程送审决算存在部分项目多计工程量、个别子目错套、高套定额等问题，造成多计工程造价2,855,815.86元。"
66,,,"2. 通风、空调工程送审决算存在部分项目部分项目多计工程量等问题，造成多计工程造价383,993.28元。"
67,,,审计抽查发现，科研经费支出未按制度规定实行分类核算，一些费用支出票据审核不严格、会计核算不规范，不能清晰反映科研经费费用支出情况，影响了会计信息的有效性和完整性。
68,,,审计抽查发现，陕科大承担的纵向科研“节能环保型置换蒸煮关键技术与设备的合作研究项目”约定的国际合作组织专项经费221万元已到位，但截至2014年5月，陕科大承诺的自筹资金60万元仍未落实到位。
69,,,"4. 列支与科研项目无关的管理费301,740元。"
70,,,对西安工程大学20个科研项目审计抽查发现，其中有3名教师为完成学校考核任务和取得相应的科研绩效，涉嫌编造虚假科研项目，分别采取以学校名义与其个人关联的公司签订3个科研项目合同，金额分别为50万元、49万元、38万元。
71,,,"西安工程大学2013年横向科研项目人员经费（助研费、劳务费）列支5,431,686.09元，其中：单笔支出大于5万元的有10笔，合计金额716,700元。"
72,,,4. 省康复医院康复楼建设项目超概算投资2812.88万元。
73,,,上述问题，违反了《中华人民共和国税收征管法》第二十八条“税务机关依照法律，行政法规的规定征收税款，不得违反法律、行政法规的规定开征、停征、多征、少征、提前征收、延缓征收或者摊派税款”的规定。
74,,,1. 超范围批复专用设备投资195.33万元抵免企业所得税应纳税额。
75,,,2. 违规减免城镇土地使用税1243.22万元。
76,,,3. 违规减免申报资料不完整企业契税280.45万元。
77,,,2.土地未批先占、批少占多。
78,,,3.违规征收新增建设用地有偿使用费。
79,,,会计科目运用不规范，将应计入其他科目的款项在“代管款项”科目核算2632.75万元。
80,,,1．已竣工并交付使用未办理财务决算。
81,,,"（4）省住房中心现金支付交通费、住宿费37,981元。"
82,,,"（5）省政务中心现金支付办公费、差旅费、公务用车保养维修费、培训费等24,699.41元。"
83,,,"4．2018年10月，省建设教育培训中心委托陕西中国旅行社为本单位组织开展党员干部外出教育，支出17,914元。"
84,,,"5．省住建厅本级报销公务电话费、公务邮电费仅用银行回单入账，无报销发票，涉及金额32,002.97元。"
85,,,"6. 省住建厅和省住房中心两年以上的存量资金          4,118,080.53元未核查处理。"
86,,,1. 部分下属企业资产负债率居高不下，不降反升。
87,,,（2）2019年度，燃气集团本部仅对部分子企业股东会决策进行备案，未制定相应制度规范下属子企业股东会、董事会等会议研究的有关重大决策应向集团报批的程序和范围。
88,,,"（1）路基、路面、房建等87个标段由于工程量计算、变更批复单价等存在问题，核减工程造价99,643,043.41元。"
89,,,"1. 会计决算报表资产反映不真实，账表相差401,219元。"
90,,,2. 未按规定报送年度会计报表。
91,,,8. 部分收支在往来账户核算。
92,,,9. 专项经费未及时安排使用，国家政策执行不到位。
93,,,1. 固定资产账账不符，未进行明细核算。
94,,,"（1）西安航专2010年购置蓄电池、摄像头、工具等物品287,969.14元，未计入固定资产账。"
95,,,"（2）2007年9月，西安航专实施学校城市管网集中供热工程建设，工程于2007年12月完工并交付使用,2010年6月进行了工程决算审计，决算价为1,946,899.50元。"
96,,,"（3）西安航专阎良新校区1号教学楼、1号及2号学生公寓楼2010年末已交付使用，金额67,232,653.75元，未暂估记入固定资产账。"
97,,,3. 购置资产未执行政府采购制度。
98,,,4.非经营性资产对外整体出租未经审批。
99,,,2. 2011年，后勤中心将物业费和房租收入47.1万元未记收入而挂账，少计缴营业税、城建税及教育费附加2.59万元、房产税0.24万元。
100,,,7. 工会经费管理不规范，少计提经费87万元。
101,,,8. 工资专户管理不规范，涉及金额484.45万元。
102,,,4. “三公经费”超标准超预算214.17万元。
103,,,5. 未按规定办理国有资产处置报批手续。
104,,,（1）截至2014年底，市政府驻北京联络处对玉华宫宾馆585.92万元、市纺织厂13万元、京成工贸公司80万元、万德空调143万元应收款项共计821.92万元，在“暂付款”科目长期挂账，未进行清理。
105,,,2013年，市地方税务局机关及所属直属税务分局、榆横分局、稽查局等4个单位“三公经费”及会议培训费超标准、超预算657.44万元。
106,,,1. 铜川市新区财政预算、决算脱离人大监督。
107,,,"3. 出借财政资金，用于垫付企业税费14,372.18万元。"
108,,,8. 违规将内部绩效分配与科室收入挂钩。
109,,,西安医学院制定的《西安医学院科研经费管理办法》第二十一条规定：“……已完成或通过验收、鉴定后的横向科研项目的结余经费，提取60%作为项目组奖励金，提取20%作为项目组的特支费（奖励、中介费、通讯费等）……”。
110,,,"（2）2014年，市财政预算下达新区财政中省专项补助资金19,008.56万元，当年下达拨付项目单位及财政专户18,969.56万元，未及时下达39万元。"
111,,,"（3）2014年，市财政预算下达王益区财政中省专项补助资金28308.49万元，以前年度结转7339.73万元，当年下达拨付项目单位及财政专户33,943.12万元，未及时下达1705.10万元。"
112,,,"（4）2014年，市财政预算下达耀州区财政中省专项补助资金89,336.57万元，以前年度结转8208.36万元，当年下达拨付项目单位及财政专户89,441.09万元，未及时下达8103.84万元。"
113,,,"（1）2014年，省财政专户下达市财政中省专项补助资金116,577.12万元，以前年度结转71,521.36万元，当年下达拨付本级、区县财政90,144.75万元，未及时下达拨付71,170.81万元。"
114,,,"（2）2014年，市财政专户下达新区财政中省专项补助资金19,667.38万元，以前年度结转16,123.12万元，当年区财政专户下达拨付14,493.47万元，未及时下达拨付21,744.96万元。"
115,,,1. 省卫生厅系统决算报表编制不完整。
116,,,在项目建设的财务管理中，存在无现金、银行存款日记账；设备投资和建安投资等会计科目记账不规范等问题。
117,,,在确定施工单位的招标过程中，采用的评标办法为：“本工程采用合理低价法，不设不评技术标..”；商务标内容经评审合格后，按投标总价由低至高的顺序进行评审”；在确定施工单位的招标过程中，评审分为合格性评审和合理性评审的定性评价，没有采取打分式的定量评价。
118,,,截止2012年6月底，勉县财政局实际拨付到勉县卫生局中央灾后恢复重建资金2100万元，勉县卫生局实际拨付勉县中医医院1800万元，未及时拨付300万元。
119,,,截止2012年6月底，勉县财政局实际拨付到勉县卫生局中央灾后恢复重建资金2100万元，勉县卫生局实际拨付勉县中医医院1800万元，未及时拨付300万元。
120,,,"1. 擅自增加电缆沟及电缆、消防水池2项分项工程，涉及工程金额949,349.66 元。"
121,,,1．根据监理合同约定及本次审计核减的工程造价金额，应支付工程监理费510.60万元，已支付304.40万元，应预留监理费用206.20万元，实际预留228.40万元，多预留22.20万元。
122,,,"2．待摊投资已列丰田车损失费259,904元，预留费用中又预留丰田车损失费259,904元，造成重复列报。"
123,,,6．未按规定配备财务人员。
124,,,2. 以学习考察名义公款旅游20.03万元。
125,,,"3. 2013年后勤集团将以前年度未决算维修项目9,202,456.62元，无依据记入主营业务成本。"
126,,,4. 扩大支出范围18.8万元。
127,,,"1. 截至2013年底，经院长办公会同意，学院教务处违规收取学生补考（清考）费181,340元、英语四、六级考试费174,931元，共计356,271元，未纳入学院法定账户核算，由个人保管，用于监考支出等。"
128,,,"2. 2010年3月至2013年12月，学院网络中心将收取的校园网费和交换机押金1,228,215元（含交换机押金62,500元）存入个人银行存折。"
129,,,1. 在非预算单位核算农业事业经费。
130,,,2. 往来账款长期挂账，未及时清理。
131,,,3. 会计核算不规范。
132,,,根据实施办法第四十七条规定，王宏同志应负领导责任。
133,,,平利县未按照《农村义务教育学生营养改善计划实名制学生信息管理暂行办法》对学生变动情况及时进行更新。
134,,,我们认为，第一段所列财务报表在所有重大方面按照中国的会计准则、会计制度和本项目贷款协定的要求编制，公允反映了亚洲开发银行贷款陕西能效提升与环境促进项目2020年12月31日的财务状况及截至该日同年度的财务收支、项目执行和专用账户收支情况。
135,,,"审计抽查发现，延安大学实施的“川口采油厂规章制度建设研究”、“粉煤灰/钨酸铋耦合三维电极处理焦化工业废水”和“榆林地区实际地物与目标的复合电磁散射特性极其资源探测和环境监测中的应用研究”科研项目列支学生劳务费23,040元，将上述款项转入项目负责人个人银行卡，未按制度规定汇入相关学生个人银行卡；“基于延安市新城区建设工程回填黄土压实性分析与应用研究”项目无劳务聘用合同等有效证明资料，列支劳务费6,900元；两项合计29,940元，不能有效证明和保证上述劳务费款项真实支付给相关学生。"
136,,,"审计抽查延安大学科研经费报销票据发现，一些科研项目存在报销与科研项目无关的设备购置费、办公用品、招待费等票据，合计金额89,389.74元。"
137,,,"审计抽查延安大学科研经费报销票据发现，一些科研项目存在报销与科研项目无关的设备购置费、办公用品、招待费等票据，合计金额89,389.74元。"
138,,,"审计抽查发现，西安工业大学在科研经费报销中列支学生劳务费3,895,811.98元，将上述款项转入项目负责教师个人银行卡，未按制度规定汇入相关学生个人银行卡，并且存在代签名领取行为，不能有效证明和保证上述劳务费款项真实支付给相关学生。"
139,,,"2. 已损坏设备654,487元，未及时清理。"
140,,,（7）永寿县财政未及时下达拨付中省市专项资金678.73万元。
141,,,（8）市交通局滞留交通专项资金9933.48万元。
142,,,（1）挤占下岗职工生活保障和再就业资金35万元。
143,,,我们还审查了你单位本期内报送给亚洲开发银行的第00013、00014、00015、00016号提款申请书及所附资料。
144,,,我们认为，第一段所列财务报表在所有重大方面按照中国的会计准则、会计制度和本项目贷款协定的要求编制，公允反映了亚洲开发银行贷款陕西能效提升与环境促进项目2020年12月31日的财务状况及截至该日同年度的财务收支、项目执行和专用账户收支情况。
145,,,4. 部分子企业注册资本未按期足额到位，涉及金额3.37亿元。
146,,,5. 工程未开工建设即进行设备采购，导致344.79万元设备长期闲置。
147,,,挤占安全费用，导致虚增利润517.91万元。
148,,,（1）工会经费未足额上缴23.83万元。
149,,,（2）未独立建立工会账。
150,,,投资计划完成率低。
151,,,1. 内控管理制度部分内容与国家有关规定不符。
152,,,2. 集中采购内控管理不规范。
153,,,3. 内控管理制度执行不到位。
154,,,6. 决算报表中部分分项数据不准确。
155,,,8. 少计利息收入160万元。
156,,,9. 违规提供非税票据。
157,,,"3. 挤占学生伙食补贴100,000元。"
158,,,1. 未经立项批准，违规建设。
159,,,"2. 建设项目超概算3,673万元。"
160,,,3．未经招标确定设计单位，涉及合同金额898.8万元。
161,,,"（1）截止2010年9月30日, 陕科大未央校区51个建设项目已竣工投入使用, 未列入固定资产核算，涉及金额740,658,412.57元，其中：34个建设项目完成投资470,278,499.94元，进行了竣工决算审计，办理了工程验收手续，并交付使用，但未列入固定资产核算；17个建设项目完成投资270,379,912.63元，已投入使用，但尚未进行竣工决算，也未列入固定资产核算。"
162,,,（3）代收款项累计结余116.35万元在其他应付款科目挂账未处理。
163,,,"2014年，西安工业大学下属的“工业中心”未经授权擅自与西安市长安区鑫科电子机械加工厂签定合同加工材料，涉及金额82,400元。"
164,,,"2014年，西安工业大学下属的“工业中心”未经授权擅自与西安市长安区鑫科电子机械加工厂签定合同加工材料，涉及金额82,400元。"
165,,,"审计抽查发现，西安工业大学一些科研项目存在科研项目已完成和结题，但未按制度规定予以结账，其中，在“大坡度厚表斜井快速施工技术研究”、“大靶面测坐标系统研制”、“光纤线管缠绕结构分析软件”等3个项目已完成，均未按规定结账，涉及金额6,425,000元。"
166,,,"2. 违规使用与纵向科研项目无关的票据列支招待费67,368元。"
167,,,"2012年至2013年6月，陕西爱乐乐团支付外聘指挥及演奏人员劳务费均以演出合同或协议书入账，未取得合规发票，共计1,164,232.6元。"
168,,,"1. 陕西爱乐乐团“车辆维修费用”中列支私人车辆维修、保险等费用票据共计35,352元（2012年度30,328元、2013年度5,024元），上述费用列支无制度依据和公司研究支付标准及数额资料。"
169,,,（4）王益区地税局车辆运维费预算13万元，支出28.90万元，超预算15.90万元。
170,,,（1）2014年，市地税稽查局未经政府采购程序，自行购买“江苏税软软件有限公司”软件一套，支出14.40万元。
171,,,2. 违规垫付职工医疗保险费，涉及金额98.52万元。
172,,,3. 无充分依据核销债务98.73万元。
173,,,4. 院史文化馆资产未按规定纳入固定资产管理和核算，涉及金额137.30万元。
174,,,"（3）2013年，市财政专户下达拨付神木县财政专户中省市专项补助资金12,231.96万元，上年结转1083.87万元；县财政当年下达拨付12,618.24万元，未下达拨付资金697.59万元。"
175,,,"（4）2013年，市财政专户下达拨付府谷县财政专户中省市专项补助资金23,582.81万元，上年结转10,775.05万元；当年下达拨付资金10,454.04万元，未下达拨付资金23,903.82万元。"
176,,,"（5）2013年，市财政专户下达拨付靖边县财政专户中省市专项资金34,619.14万元，县财政专户以前年度结转6011.85万元，县财政专户下达拨付项目单位32,289.24万元，未及时下达拨付8341.75万元。"
177,,,3. 未建立科研项目信息共享平台，影响科研项目管理效率。
178,,,（1）未经集团公司批准，书画公司同意自然人林浩然借用公司名义开展业务。
179,,,（1）大明镇桥峪水渠石渣厂房、柳枝镇杨公社住房和张增亮砸石场附近3个废弃采石点的采石区域破坏明显，未恢复整治。
180,,,（2）少华山景区内的石门服务区餐厅及停车厂、八里店餐厅、石门滑索、潜龙寺景区（一期、二期）等4个项目及莲花寺镇的陕西天然泉水饮品有限公司均已建成，未取得合法用地手续。
181,,,6. 会计核算不规范。
182,,,"2012年省农业厅计财处在省财政厅批复的预算之外，自行下达二级预算单位预算资金计划2,708,020元。"
183,,,"省农业厅本级超预算支出495,400元。"
184,,,"省农业厅本级超预算支出495,400元。"
185,,,（2）费用支出不合规。
186,,,（3）互助资金协会财务管理和会计核算不规范，账套建立不完整。
187,,,（2）2012年，市外事与接待办公室在咸阳市渭城区诚邦汽车修理厂、东方轮胎有限公司等2家非定点单位进行公务车辆维修，并支付维修费6.36万元。
188,,,（9）概算外支付沥青价款40万元。
189,,,2009年9月，《陕西省审计厅关于宁强县灾后恢复重建项目跟踪审计中有关的审计建议》（陕审交建〔2009〕6号）反映，宁强县教体局在2009年7月15日挪用天津援建资金160万元用于偿还宁强县职业技术教育中心2006年校区建设贷款，违反了财政部《汶川地震灾后恢复重建资金（基金）预算管理办法》第十三条?“各级政府、各部门、各单位的恢复重建工作必须按预算执行，并加强对恢复重建支出的管理，不得侵占、截留、挪用灾后恢复重建资金或物资”的规定。
190,,,"该项目相关施工单位送审工程决算存在多计工程量、高套定额子目、虚报材料价格等问题，造成多计工程造价3,596,337.05元。"
191,,,新校区室外附属工程主要由室外道路、围墙大门、给排水工程和室外绿化工程组成，宁强县教体局《关于县职教中心建设进度及资金安排的报告》（宁教体发〔2009〕129号）在项目建设计划中安排室外道路、围墙大门、给排水工程计划投资290万元，绿化美化工程计划投资120万元，天津援建宁强工作组在此报告上签署了“将此安排与资金办审定作为拨款凭据……不得突破此安排”的意见。
192,,,新校区绿化工程，施工现场会议纪要要求压印地坪增加脱模剂、酸洗及密封剂等工序，需重新组价并由业主和监理单位审批，但实际业主和监理单位没有对此组价进行审批；变更增加的原投标预算中没有的绿化苗木、材料、机械台班等没有进行现场认价；由于现场设计多次变更等原因，导致有些已经完工的项目被破坏又重复施工，增加了建设费用。
193,,,该项目实训大楼和实习工厂于2010年4月22日竣工，但由于配套工程没有建设，新校区无学生宿舍楼、食堂等，截止审计时（2011年6月20日），一直未全部投入使用。
194,,,2.部分资产及收入未纳入统一核算。
195,,,"3.物产集团本部及所属公司应收款项21,664万元长期挂账未清理，形成不良债权。"
196,,,"1.物产集团及所属部分企业对银行债务回购应作核减的资产93,583万元未予核减。"
197,,,2.长期拖欠应交税金1676.5万元。
198,,,"1. 固定资产38,320元未经政府采购。"
199,,,"2. 固定资产92,820元未入账。"
200,,,3. 轿车报废处置未经财政部门审批。
201,,,1. 在非预算单位核算农业事业经费。
202,,,（4）2016年，后勤中心用事业基金16.77万元弥补当年收支差额。
203,,,（1）厅机关往来款项挂账三年以上资金235.22元，其中：其他应收款65.04万元、预付账款3万元、其他应付款167.18万元。
204,,,（2）评审中心应收账款挂账三年以上资金20万元。
205,,,我们认为，第一段所列财务报表在所有重大方面按照中国的会计准则、会计制度和本项目贷款协定的要求编制，公允反映了渭南市卤阳湖盐碱地综合治理项目2020年12月31日的财务状况及截至该日同年度的财务收支、项目执行和专用账户收支情况。
206,,,2015年公车改革前，市审计局在公车使用管理方面比较粗放，用车登记记录不全，无用车时间、地点、里程、油耗、费用等信息，且车辆运行、维护等费用未进行单车核算。
207,,,"2008年，省发改委机关行政账户经费支出—商品和服务支出为10,840,215.43元，基建账户其他待摊投资支出为6,495,314.28元，两项合计金额17,335,529.71元。"
208,,,6. 省高速集团、省交通集团阎良至禹门口、神木至府谷等已运营高速公路项目资产未按《会计准则》的规定结转固定资产。
209,,,"7．2010年10月至2104年12月，宝汉公司及省高速集团宝鸡分公司少计财务费用110,691.30万元。"
210,,,8．省高速集团及下属白泉分公司多计成本99.7万元。
211,,,1. 延长石油集团委托的造价咨询机构资质不能满足需要。
212,,,（1）部分施工合同存在内容重复项目，涉及工程造价 418.34万元（详见附表1）。
213,,,2．收费管理系统业务数据不准确。
214,,,"截至2018年底，省委编办将以前年度车辆、办公用品等处置收入10,640元，在其他应付款科目长期挂账，未按非税收入管理的规定上缴财政。"
215,,,（2）省商务厅无依据调增项目补助资金，涉及金额196.43万元。
216,,,（3）部分项目单位涉嫌提供虚假资料。
217,,,我们还审查了本期内报送给亚洲开发银行的第016号提款申请书及所附资料。
218,,,3. 已完工项目结余资金在“其他应付款”反映。
219,,,（1）历年结余资金未纳入预算编制。
220,,,（2）历年事业收支、经营收支未纳入预算编制。
221,,,2. 部分公益项目未按期完成。
222,,,（1）2016年至2017年，省地调院将地质灾害应急调查项目、榆神矿区水文地质项目、陕煤榆神项目等专项经费111.26万元，用于办公费、差旅费、邮电费、体检费等；2015年6月至2017年底将地质防治专项经费、地质灾害详细调查经费381.86万元，用于单位因公致残职工医疗费、护工费及家属住宿费等；2017年从公益性地质及地质灾害应急调查项目、陕煤榆神项目等专项经费中列支外聘保安、保洁人员工资及其他费用17.70万元。
223,,,2013年，横山县教育局与横山县张三烟酒超市和绥德县绥德汉食品有限公司签订价值分别为183万元和54万元的食品供应合同，合计237万元未按规定履行政府采购程序。
224,,,"审计抽查科研经费报销情况发现，违规列支与科研无关的费用68,366.80元，其中：纵向科研项目“陕北高档羊皮鞋设计与工艺的研究项目”列支不能有效证明用于科研项目的燃油费63,156.80元（占项目支出80%）；纵向科研“草浆洗涤过程两步神经网络建模及集成优化研究项目”列支保温杯20个，价值3,960元；2013年“设备购置费”列支与科研项目无关的擦鞋机费用1,250元。"
225,,,（2）路基工程H-C22标段多报决算472.73万元。
226,,,（3）路基工程H-C24、H-C25标段多报决算217.66万元。
227,,,安康学院一些科研项目信息数据、相关财务数据、报送主管部门的数据三者之间还存在不相符不一致现象，不能有效清晰地反映科研管理信息和相关财务信息。
228,,,"审计抽查渭南师范学院10个科研项目发现，5个科研项目以现金形式列支劳务费咨询费37,022元，全部转入项目负责人个人银行卡，未按制度规定通过相关劳务人员银行卡支付，且领款凭证为“代开税务发票”，不能证明上述劳务费、咨询费支出的真实性，无法确保上述款项真实支付给相关人员，存在虚报、冒领和以编制劳务支出表的方式套取科研经费的风险。"
229,,,（1）对医用耗材出库后使用情况缺乏监管。
230,,,（2）2014年，市地税稽查局对铜川声威建材有限责任公司进行税务稽查，发现欠缴地方教育附加54.87万元，但王益区地税局只征收欠缴款项，未征收滞纳金、罚款。
231,,,（1）少征税款2409.56万元。
232,,,（2）多征税款1988.22万元。
233,,,1. 违规设立奖励项目，发放奖金、补贴427.55万元。
234,,,3. 无预算支出111万元。
235,,,3．工会未独立设账。
236,,,4．固定资产账实不符。
237,,,1．未按规定执行政府采购，涉及金额7.20万元。
238,,,"（3）承担省高速集团档案馆建设资金250,000元。"
239,,,"3．违规支付个人所得税及罚款1,212,059.29元。"
240,,,"（2）截至2017年底，建工集团资金中心将内部贷款利息收入结余长期在往来款挂账，形成潜盈，涉及金额12,093.29万元。"
241,,,6. 列支费用票据不合规76.65万元。
242,,,（1）2017年5月，西安新世纪房地产发展有限责任公司未经集团批准，未向税务机关备案，列支资产报损113.74万元。
243,,,（2）2017年12月，陕西省建筑房地产开发公司未经集团审批，无依据自行核销债权88.93万元。
244,,,"2010年12月29日，省文史馆以举办新馆建设座谈会的名义（会议未召开），转入陕西高速神州酒店有限公司会议费86,765元，扣除税金后从酒店套取现金74,000元，用于支付润笔费73,000元、丧葬费1000元。"
245,,,2004年至2010年，省文史馆书画研究处和文献资料室对部分书画作品未按照相关制度进行出入库登记。
246,,,"2010年，省文史馆支付《长安学丛书》等50 人编辑费、稿费、咨询费等697,000元，未代扣代缴个人所得税97,580元。"
247,,,1.对外投资及出借款项损失1182.46万元未真实反映。
248,,,（4）公车运行维护费超预算6.88万元。
249,,,2. 报销票据不合规。
250,,,3. 往来款项长期挂账10.22万元。
251,,,4. 少计固定资产4999元。
252,,,2017年省审计厅对省贸促会审计中指出了库存礼品管理混乱的问题，省贸促会进行了整改但整改不彻底。
253,,,1. 占用下属单位车辆。
